"ResponseId"	"P.Gender"	"P.Age"	"P.Ethnicity"	"P.Education_1"	"S.Gender"	"S.AgeGroup"	"S.Ethnicity"	"S.Education"	"S.PerceivedAgeGroup"	"Speaker"	"Sentence"	"Loop"	"MR3"
"R_3m4ZnuXMwFBd3if"	"Male"	20.9384946234524	"Malay"	"University"	"Female"	"30+"	"Indian"	"University"	"20-29"	956	3	2	-0.840902263
"R_3m4ZnuXMwFBd3if"	"Male"	21.8967080370523	"Malay"	"University"	"Male"	"20+"	"Chinese"	"Secondary school"	"20-29"	400	1	3	-0.529670934
"R_3m4ZnuXMwFBd3if"	"Male"	21.0135855881032	"Malay"	"University"	"Female"	"30+"	"Chinese"	"Polytechnic"	"20-29"	937	3	1	-0.571079894
"R_3McevYTQLnPjYxI"	"Male"	25.0166954569519	"Malay"	"University"	"Female"	"20+"	"Indian"	"Secondary school"	"20-29"	446	1	5	0.68682061
"R_3McevYTQLnPjYxI"	"Male"	25.5536953161005	"Malay"	"University"	"Male"	"30+"	"Malay"	"Secondary school"	"20-29"	965	1	1	0.716750782
"R_3McevYTQLnPjYxI"	"Male"	24.8294592323713	"Malay"	"University"	"Male"	"30+"	"Indian"	"Polytechnic"	"20-29"	936	4	4	1.032519806
"R_3McevYTQLnPjYxI"	"Male"	25.1969478547107	"Malay"	"University"	"Male"	"30+"	"Chinese"	"University"	"20-29"	832	3	2	0.750488847
"R_3MEid1mCnUm2M4Z"	"Male"	23.9137997124344	"Malay"	"University"	"Female"	"20+"	"Indian"	"Secondary school"	"20-29"	446	1	4	-0.437775482
"R_3MEid1mCnUm2M4Z"	"Male"	24.8803595426958	"Malay"	"University"	"Male"	"30+"	"Malay"	"Secondary school"	"20-29"	965	1	2	-0.369665776
"R_3MEid1mCnUm2M4Z"	"Male"	24.2820650519803	"Malay"	"University"	"Male"	"30+"	"Chinese"	"University"	"20-29"	832	3	5	-0.444780604
"R_3mledJVqNqXPQgJ"	"Female"	23.7128753182944	"Malay"	"University"	"Male"	"30+"	"Indian"	"Polytechnic"	"20-29"	936	3	2	1.849158327
"R_3Mtf2AJfFG8ev9C"	"Female"	24.1642998736352	"Malay"	"University"	"Male"	"20+"	"Malay"	"Polytechnic"	"20-29"	990	3	3	-1.311502976
"R_3Mtf2AJfFG8ev9C"	"Female"	23.549179504253	"Malay"	"University"	"Male"	"20+"	"Chinese"	"University"	"20-29"	866	1	1	-1.189708679
"R_3Mtf2AJfFG8ev9C"	"Female"	23.7783681634814	"Malay"	"University"	"Female"	"30+"	"Chinese"	"Secondary school"	"20-29"	694	4	4	-0.913163962
"R_3Mtf2AJfFG8ev9C"	"Female"	23.9096313217189	"Malay"	"University"	"Male"	"20+"	"Indian"	"University"	"20-29"	1014	1	2	-0.997880196
"R_3MzjzGXlFm6enMG"	"Female"	22.3280525806826	"Malay"	"University"	"Female"	"30+"	"Malay"	"University"	"30-39"	931	1	6	0.595459497
"R_3MzjzGXlFm6enMG"	"Female"	22.5430512770079	"Malay"	"University"	"Female"	"30+"	"Chinese"	"Polytechnic"	"30-39"	937	3	1	0.729744167
"R_3MzjzGXlFm6enMG"	"Female"	21.5185546547174	"Malay"	"University"	"Male"	"20+"	"Chinese"	"Secondary school"	"30-39"	400	4	3	0.97455875
"R_3MzjzGXlFm6enMG"	"Female"	21.8841829835903	"Malay"	"University"	"Female"	"30+"	"Indian"	"University"	"30-39"	956	3	5	0.939118099
"R_3n7AC0NuRQOcz0Y"	"Female"	22.6667403807864	"Malay"	"University"	"Female"	"30+"	"Indian"	"University"	"20-29"	956	4	6	0.947809576
"R_3n7AC0NuRQOcz0Y"	"Female"	23.0089149671607	"Malay"	"University"	"Female"	"30+"	"Chinese"	"Polytechnic"	"20-29"	937	1	2	1.126493819
"R_3n7AC0NuRQOcz0Y"	"Female"	22.8499042438343	"Malay"	"University"	"Male"	"20+"	"Chinese"	"Secondary school"	"20-29"	400	3	3	1.44841161
"R_3nA9eM2YRdjew1W"	"Male"	26.9000449839514	"Malay"	"University"	"Female"	"30+"	"Indian"	"University"	"20-29"	956	1	2	0.84191143
"R_3nA9eM2YRdjew1W"	"Male"	27.0599947889335	"Malay"	"University"	"Male"	"20+"	"Chinese"	"Secondary school"	"20-29"	400	4	4	0.949352761
"R_3nA9eM2YRdjew1W"	"Male"	26.6923676692415	"Malay"	"University"	"Female"	"30+"	"Malay"	"University"	"20-29"	931	1	5	0.898107124
"R_3nHMe0VfE3RwCk4"	"Female"	20.4949165875558	"Malay"	"University"	"Male"	"30+"	"Malay"	"University"	"20-29"	558	3	2	0.338952012
"R_3nHMe0VfE3RwCk4"	"Female"	19.7773986153305	"Malay"	"University"	"Male"	"20+"	"Chinese"	"Polytechnic"	"20-29"	878	1	5	0.228050796
"R_3nHMe0VfE3RwCk4"	"Female"	19.9110289002303	"Malay"	"University"	"Male"	"30+"	"Indian"	"Secondary school"	"20-29"	962	1	3	0.453679975
"R_3nHMe0VfE3RwCk4"	"Female"	20.8627348425332	"Malay"	"University"	"Female"	"20+"	"Indian"	"Polytechnic"	"20-29"	930	3	1	0.310786714
"R_3nNQxk7ZUXA0uvv"	"Female"	21.7869080346078	"Malay"	"University"	"Male"	"20+"	"Indian"	"University"	"20-29"	1014	3	4	1.160918274
"R_3nNQxk7ZUXA0uvv"	"Female"	21.7712573853321	"Malay"	"University"	"Female"	"30+"	"Malay"	"Polytechnic"	"20-29"	911	4	1	1.38825522
"R_3nNQxk7ZUXA0uvv"	"Female"	20.4722547390033	"Malay"	"University"	"Male"	"20+"	"Malay"	"Polytechnic"	"20-29"	990	3	3	1.556952497
"R_3nNQxk7ZUXA0uvv"	"Female"	21.3307392616291	"Malay"	"University"	"Male"	"20+"	"Chinese"	"University"	"20-29"	866	1	2	1.506140971
"R_3O2jWRpYjITxH1F"	"Female"	22.8232375369407	"Malay"	"University"	"Male"	"20+"	"Chinese"	"Polytechnic"	"30-39"	878	1	5	-1.108076772
"R_3O2jWRpYjITxH1F"	"Female"	23.1818038710859	"Malay"	"University"	"Male"	"30+"	"Malay"	"University"	"30-39"	558	4	2	-0.960656797
"R_3O2jWRpYjITxH1F"	"Female"	22.610619196156	"Malay"	"University"	"Male"	"30+"	"Indian"	"Secondary school"	"30-39"	962	1	3	-1.078518264
"R_3ObVNoYloMPfWKJ"	"Female"	22.815873592766	"Malay"	"University"	"Female"	"30+"	"Indian"	"University"	"20-29"	956	1	3	-1.391884476
"R_3ObVNoYloMPfWKJ"	"Female"	22.6909197646659	"Malay"	"University"	"Male"	"20+"	"Chinese"	"Secondary school"	"20-29"	400	4	4	-1.27940563
"R_3ObVNoYloMPfWKJ"	"Female"	22.9223108960781	"Malay"	"University"	"Female"	"30+"	"Malay"	"University"	"20-29"	931	1	1	-1.128791554
"R_3OiXLqgb0UC4Gmg"	"Male"	26.7627854627091	"Malay"	"Post-secondary"	"Male"	"30+"	"Malay"	"University"	"20-29"	558	4	1	-0.858808271
"R_3OiXLqgb0UC4Gmg"	"Male"	27.3671461111866	"Malay"	"Post-secondary"	"Female"	"20+"	"Malay"	"Secondary school"	"20-29"	225	1	4	-0.748654251
"R_3OiXLqgb0UC4Gmg"	"Male"	27.0245066544972	"Malay"	"Post-secondary"	"Female"	"20+"	"Indian"	"Polytechnic"	"20-29"	930	1	6	-0.765584951
"R_3OiXLqgb0UC4Gmg"	"Male"	27.6373375252355	"Malay"	"Post-secondary"	"Male"	"30+"	"Indian"	"Secondary school"	"20-29"	962	3	2	-0.446417066
"R_3OkLom8nAaKyFzO"	"Female"	19.5686110075563	"Malay"	"University"	"Male"	"30+"	"Malay"	"Secondary school"	"20-29"	965	3	2	-1.631307259
"R_3OkLom8nAaKyFzO"	"Female"	20.4815416637342	"Malay"	"University"	"Female"	"20+"	"Indian"	"Secondary school"	"20-29"	446	1	6	-1.693686916
"R_3OkLom8nAaKyFzO"	"Female"	20.0064504415728	"Malay"	"University"	"Male"	"30+"	"Chinese"	"University"	"20-29"	832	1	5	-1.297388159
"R_3oXTtc2jKtdqVQp"	"Male"	23.0600295457058	"Malay"	"Post-secondary"	"Female"	"20+"	"Indian"	"Secondary school"	"20-29"	446	1	3	-1.513418833
"R_3oXTtc2jKtdqVQp"	"Male"	23.6837130823638	"Malay"	"Post-secondary"	"Male"	"30+"	"Malay"	"Secondary school"	"20-29"	965	1	1	-1.495822437
"R_3oXTtc2jKtdqVQp"	"Male"	23.9538755400572	"Malay"	"Post-secondary"	"Male"	"30+"	"Indian"	"Polytechnic"	"20-29"	936	3	5	-1.243830295
"R_3oXTtc2jKtdqVQp"	"Male"	22.7071657344699	"Malay"	"Post-secondary"	"Male"	"30+"	"Chinese"	"University"	"20-29"	832	4	2	-1.524934845
"R_3p0at0HvwQ7gd2z"	"Female"	21.4107569789514	"Malay"	"University"	"Male"	"20+"	"Chinese"	"Polytechnic"	"20-29"	878	4	2	-0.799265803
"R_3p0at0HvwQ7gd2z"	"Female"	21.1053010107484	"Malay"	"University"	"Female"	"20+"	"Indian"	"Polytechnic"	"20-29"	930	4	6	-0.616263453
"R_3p0at0HvwQ7gd2z"	"Female"	20.4060196749866	"Malay"	"University"	"Female"	"20+"	"Malay"	"Secondary school"	"20-29"	225	1	4	-0.343138308
"R_3p4hjFCg8m4YRWX"	"Female"	21.6121782090981	"Malay"	"University"	"Male"	"30+"	"Chinese"	"University"	"20-29"	832	1	1	-0.544531537
"R_3p4hjFCg8m4YRWX"	"Female"	20.8789497223217	"Malay"	"University"	"Male"	"30+"	"Indian"	"Polytechnic"	"20-29"	936	1	5	-0.41965641
"R_3p4hjFCg8m4YRWX"	"Female"	20.5239367723931	"Malay"	"University"	"Female"	"20+"	"Indian"	"Secondary school"	"20-29"	446	4	3	-0.348905941
"R_3p5eRyQ2cRIKc4B"	"Male"	19.7011877035256	"Indian"	"Post-secondary"	"Male"	"20+"	"Chinese"	"Secondary school"	"20-29"	400	1	3	1.379990462
"R_3p5eRyQ2cRIKc4B"	"Male"	19.8172262431588	"Indian"	"Post-secondary"	"Female"	"30+"	"Indian"	"University"	"20-29"	956	3	4	1.600804204
"R_3p5eRyQ2cRIKc4B"	"Male"	20.5614687841386	"Indian"	"Post-secondary"	"Female"	"30+"	"Chinese"	"Polytechnic"	"20-29"	937	4	2	1.693296498
"R_3P60GkK16hVuynh"	"Female"	22.3220020438544	"Malay"	"University"	"Male"	"30+"	"Malay"	"University"	"20-29"	558	3	5	0.952342554
"R_3P60GkK16hVuynh"	"Female"	21.8104217709973	"Malay"	"University"	"Male"	"30+"	"Indian"	"Secondary school"	"20-29"	962	1	2	1.150446926
"R_3P60GkK16hVuynh"	"Female"	22.383952293219	"Malay"	"University"	"Male"	"20+"	"Chinese"	"Polytechnic"	"20-29"	878	4	3	1.340933748
"R_3P60GkK16hVuynh"	"Female"	21.8505194032099	"Malay"	"University"	"Female"	"20+"	"Malay"	"Secondary school"	"20-29"	225	1	4	1.288020113
"R_3P60GkK16hVuynh"	"Female"	22.3318124785554	"Malay"	"University"	"Female"	"20+"	"Indian"	"Polytechnic"	"20-29"	930	3	1	1.112683989
"R_3p6eQ7cNYQttzGI"	"Female"	24.8704212870449	"Indian"	"University"	"Male"	"20+"	"Chinese"	"Secondary school"	"20-29"	400	4	5	-0.626372897
"R_3p6eQ7cNYQttzGI"	"Female"	24.7601380540524	"Indian"	"University"	"Female"	"30+"	"Chinese"	"Polytechnic"	"20-29"	937	3	1	-0.403153169
"R_3p6eQ7cNYQttzGI"	"Female"	24.8359568086918	"Indian"	"University"	"Female"	"30+"	"Indian"	"University"	"20-29"	956	1	6	-0.397654519
"R_3p9D9tEb0RJgmXP"	"Female"	21.9654156133998	"Indian"	"University"	"Male"	"30+"	"Indian"	"Polytechnic"	"20-29"	936	4	4	-0.439207028
"R_3p9D9tEb0RJgmXP"	"Female"	21.4515325883869	"Indian"	"University"	"Male"	"30+"	"Malay"	"Secondary school"	"20-29"	965	3	1	-0.341388621
"R_3p9D9tEb0RJgmXP"	"Female"	22.4853783138562	"Indian"	"University"	"Male"	"30+"	"Chinese"	"University"	"20-29"	832	1	5	-0.275051396
"R_3PaBwSnB1yWAvsR"	"Female"	26.8224859450944	"Malay"	"Post-secondary"	"Female"	"30+"	"Chinese"	"Secondary school"	"20-29"	694	3	5	0.252883718
"R_3PaBwSnB1yWAvsR"	"Female"	26.3886161155999	"Malay"	"Post-secondary"	"Male"	"20+"	"Chinese"	"University"	"20-29"	866	4	4	0.213242323
"R_3PaBwSnB1yWAvsR"	"Female"	26.4629830317572	"Malay"	"Post-secondary"	"Male"	"20+"	"Indian"	"University"	"20-29"	1014	4	1	0.26943553
"R_3PaBwSnB1yWAvsR"	"Female"	26.670311991591	"Malay"	"Post-secondary"	"Male"	"20+"	"Malay"	"Polytechnic"	"20-29"	990	1	3	0.552703073
"R_3PAGR68c9Cabb1u"	"Male"	19.8991406570654	"Indian"	"Post-secondary"	"Male"	"20+"	"Chinese"	"Secondary school"	"20-29"	400	1	1	-0.691663595
"R_3PAGR68c9Cabb1u"	"Male"	20.5701457924675	"Indian"	"Post-secondary"	"Female"	"30+"	"Indian"	"University"	"20-29"	956	3	3	-0.781489528
"R_3PAGR68c9Cabb1u"	"Male"	21.7274919016287	"Indian"	"Post-secondary"	"Female"	"30+"	"Chinese"	"Polytechnic"	"20-29"	937	3	4	-0.864561593
"R_3paqxVxuulnsUvr"	"Female"	19.9332479000557	"Malay"	"Post-secondary"	"Female"	"30+"	"Chinese"	"Polytechnic"	"20-29"	937	3	1	-0.679781448
"R_3paqxVxuulnsUvr"	"Female"	19.6663338908926	"Malay"	"Post-secondary"	"Male"	"20+"	"Chinese"	"Secondary school"	"20-29"	400	4	2	-0.61310737
"R_3paqxVxuulnsUvr"	"Female"	20.075587959215	"Malay"	"Post-secondary"	"Female"	"30+"	"Indian"	"University"	"20-29"	956	1	4	-0.305723344
"R_3PbLlI6BnFeVfHf"	"Female"	22.4619969656225	"Indian"	"University"	"Male"	"30+"	"Malay"	"University"	"20-29"	558	4	5	1.904595636
"R_3PbLlI6BnFeVfHf"	"Female"	22.4772061880212	"Indian"	"University"	"Male"	"20+"	"Chinese"	"Polytechnic"	"20-29"	878	1	3	1.956104128
"R_3PbLlI6BnFeVfHf"	"Female"	23.2424738895614	"Indian"	"University"	"Male"	"30+"	"Indian"	"Secondary school"	"20-29"	962	1	2	1.927135536
"R_3PctgegJ44n7X9L"	"Female"	22.057163078757	"Malay"	"University"	"Male"	"30+"	"Indian"	"Polytechnic"	"20-29"	936	4	1	-1.41910293
"R_3PctgegJ44n7X9L"	"Female"	22.338952868944	"Malay"	"University"	"Female"	"20+"	"Indian"	"Secondary school"	"20-29"	446	3	2	-1.4161873
"R_3PGi8Huuit3pRbe"	"Female"	19.7569683136884	"Indian"	"Post-secondary"	"Female"	"20+"	"Malay"	"Secondary school"	"20-29"	225	1	4	-0.761928315
"R_3PGi8Huuit3pRbe"	"Female"	19.9742340164725	"Indian"	"Post-secondary"	"Male"	"30+"	"Malay"	"University"	"20-29"	558	3	5	-0.64516646
"R_3PGi8Huuit3pRbe"	"Female"	19.792255012691	"Indian"	"Post-secondary"	"Male"	"20+"	"Chinese"	"Polytechnic"	"20-29"	878	4	6	-0.666334331
"R_3PGi8Huuit3pRbe"	"Female"	19.4212243402377	"Indian"	"Post-secondary"	"Male"	"30+"	"Indian"	"Secondary school"	"20-29"	962	3	1	-0.75575174
"R_3PGMDgauLTsXVry"	"Female"	39.4074300009292	"Malay"	"University"	"Female"	"30+"	"Chinese"	"Polytechnic"	"20-29"	937	3	6	-0.334405774
"R_3Pi78EZczMrI7Zs"	"Male"	20.1022454052232	"Malay"	"Post-secondary"	"Male"	"30+"	"Indian"	"Polytechnic"	"20-29"	936	4	2	-0.551211347
"R_3Pi78EZczMrI7Zs"	"Male"	21.1529595755041	"Malay"	"Post-secondary"	"Male"	"30+"	"Chinese"	"University"	"20-29"	832	1	1	-0.445395959
"R_3Pi78EZczMrI7Zs"	"Male"	21.4071504866704	"Malay"	"Post-secondary"	"Male"	"30+"	"Malay"	"Secondary school"	"20-29"	965	4	5	-0.296762944
"R_3Pi78EZczMrI7Zs"	"Male"	21.6587716756854	"Malay"	"Post-secondary"	"Female"	"20+"	"Indian"	"Secondary school"	"20-29"	446	3	4	-0.223479031
"R_3PI7eLLdk0VnmsG"	"Female"	22.8274901873432	"Malay"	"University"	"Male"	"20+"	"Chinese"	"Polytechnic"	"20-29"	878	3	1	0.464209064
"R_3PI7eLLdk0VnmsG"	"Female"	22.4193489055149	"Malay"	"University"	"Female"	"20+"	"Indian"	"Polytechnic"	"20-29"	930	3	4	0.135989662
"R_3PI7eLLdk0VnmsG"	"Female"	22.2539498423226	"Malay"	"University"	"Female"	"20+"	"Malay"	"Secondary school"	"20-29"	225	1	5	0.574928875
"R_3pnZi3ExJQTAIpa"	"Male"	22.2847128862515	"Malay"	"University"	"Male"	"20+"	"Chinese"	"Secondary school"	"20-29"	400	4	3	-0.943175341
"R_3pnZi3ExJQTAIpa"	"Male"	23.3797527152114	"Malay"	"University"	"Female"	"30+"	"Chinese"	"Polytechnic"	"20-29"	937	3	6	-0.889808127
"R_3pnZi3ExJQTAIpa"	"Male"	23.8498720156495	"Malay"	"University"	"Female"	"30+"	"Indian"	"University"	"20-29"	956	4	1	-0.584246056
"R_3PpkPyfGS21qyHo"	"Male"	25.0157024032436	"Malay"	"Post-secondary"	"Male"	"20+"	"Indian"	"University"	"20-29"	1014	3	5	-0.370165724
"R_3PpkPyfGS21qyHo"	"Male"	25.4849610173609	"Malay"	"Post-secondary"	"Male"	"20+"	"Malay"	"Polytechnic"	"20-29"	990	3	2	-0.171511675
"R_3PpkPyfGS21qyHo"	"Male"	24.7228695400991	"Malay"	"Post-secondary"	"Male"	"20+"	"Chinese"	"University"	"20-29"	866	1	6	-0.135544781
"R_3PpkPyfGS21qyHo"	"Male"	25.3165384998545	"Malay"	"Post-secondary"	"Female"	"30+"	"Malay"	"Polytechnic"	"20-29"	911	4	4	-0.161857151
"R_3ps7k59LlxWuMAJ"	"Female"	23.5646793447435	"Indian"	"University"	"Female"	"30+"	"Chinese"	"Polytechnic"	"30-39"	937	3	2	0.398064697
"R_3ps7k59LlxWuMAJ"	"Female"	24.3437508789822	"Indian"	"University"	"Female"	"30+"	"Indian"	"University"	"30-39"	956	4	4	0.363773558
"R_3ps7k59LlxWuMAJ"	"Female"	23.8878916761372	"Indian"	"University"	"Female"	"30+"	"Malay"	"University"	"30-39"	931	4	1	0.666620602
"R_3PT71Pgu14Gn5D1"	"Male"	25.5269047982059	"Indian"	"University"	"Male"	"30+"	"Malay"	"University"	"20-29"	558	3	2	-0.849963223
"R_3PT71Pgu14Gn5D1"	"Male"	25.0550021081232	"Indian"	"University"	"Female"	"20+"	"Indian"	"Polytechnic"	"20-29"	930	4	5	-0.605343188
"R_3PT71Pgu14Gn5D1"	"Male"	25.1852449893951	"Indian"	"University"	"Male"	"30+"	"Indian"	"Secondary school"	"20-29"	962	1	1	-0.399102691
"R_3PT71Pgu14Gn5D1"	"Male"	25.9799679169897	"Indian"	"University"	"Female"	"20+"	"Malay"	"Secondary school"	"20-29"	225	1	6	-0.438153654
"R_3pupjZAcbefbih7"	"Female"	19.9356855805963	"Malay"	"Post-secondary"	"Female"	"30+"	"Malay"	"Polytechnic"	"30-39"	911	3	5	1.285590136
"R_3pupjZAcbefbih7"	"Female"	19.9104774723761	"Malay"	"Post-secondary"	"Male"	"20+"	"Malay"	"Polytechnic"	"30-39"	990	1	2	1.42017489
"R_3pupjZAcbefbih7"	"Female"	20.1619635101408	"Malay"	"Post-secondary"	"Male"	"20+"	"Chinese"	"University"	"30-39"	866	4	6	1.815476878
"R_3PvEoyvrQMKdLkT"	"Female"	24.3152052442543	"Malay"	"Post-secondary"	"Female"	"30+"	"Malay"	"University"	"30-39"	931	1	2	0.126904948
"R_3PvEoyvrQMKdLkT"	"Female"	24.0259437583387	"Malay"	"Post-secondary"	"Female"	"30+"	"Chinese"	"Polytechnic"	"30-39"	937	3	4	0.306488903
"R_3PvEoyvrQMKdLkT"	"Female"	24.182258235896	"Malay"	"Post-secondary"	"Female"	"30+"	"Indian"	"University"	"30-39"	956	1	6	0.36075726
"R_3PYOUk2W1lRO7hx"	"Male"	23.6603759394027	"Indian"	"University"	"Male"	"20+"	"Malay"	"Polytechnic"	"20-29"	990	4	4	-0.062075617
"R_3PYOUk2W1lRO7hx"	"Male"	23.869748540502	"Indian"	"University"	"Female"	"30+"	"Chinese"	"Secondary school"	"20-29"	694	1	6	0.237648638
"R_3PYOUk2W1lRO7hx"	"Male"	23.6504733706824	"Indian"	"University"	"Female"	"30+"	"Malay"	"Polytechnic"	"20-29"	911	3	5	0.237561233
"R_3q8bqZ5qhtxjPqV"	"Male"	28.6025940202177	"Indian"	"University"	"Male"	"20+"	"Chinese"	"Secondary school"	"20-29"	400	4	1	-0.434387319
"R_3q8bqZ5qhtxjPqV"	"Male"	28.278290089732	"Indian"	"University"	"Female"	"30+"	"Malay"	"University"	"20-29"	931	3	2	-0.236250216
"R_3q8bqZ5qhtxjPqV"	"Male"	28.1467289072461	"Indian"	"University"	"Female"	"30+"	"Indian"	"University"	"20-29"	956	3	5	-0.104739928
"R_3q98pTRgYS1iOfd"	"Female"	41.0252916263882	"Chinese"	"University"	"Female"	"30+"	"Malay"	"University"	"30-39"	931	3	2	-0.566578889
