ResponseId	S.Gender	S.Ethnicity	S.Education	S.AgeGroup	P.Gender	P.Ethnicity	P.Education	P.Age	Speaker	Sentence	Loop	RC1	RC2	RC3	RC4
R_wNJSIklWvyfrqPn	Female	Indian	University	30+	Female	Chinese	University	22	956	2	5	0.190895077	0.908893237	0.656384775	1.043115943
R_wNJSIklWvyfrqPn	Male	Chinese	Secondary school	20+	Female	Chinese	University	22	400	1	6	-0.404477915	1.685162414	0.198800808	0.594455815
R_3qWq9eG4eAARFff	Male	Indian	Polytechnic	30+	Male	Chinese	Post-secondary	25	936	3	1	-1.249832943	-0.118976746	0.056377395	0.379269322
R_3qWq9eG4eAARFff	Female	Malay	University	20+	Male	Chinese	Post-secondary	25	532	5	2	-1.877253489	0.054224653	0.061682019	-0.87055912
R_3qWq9eG4eAARFff	Female	Chinese	Polytechnic	20+	Male	Chinese	Post-secondary	25	818	2	3	1.204280674	-0.040039254	1.34125219	-0.09560897
R_3qWq9eG4eAARFff	Female	Indian	Secondary school	20+	Male	Chinese	Post-secondary	25	446	4	4	-1.42244159	0.977498323	-0.261578938	0.047972843
R_3qWq9eG4eAARFff	Male	Malay	Secondary school	30+	Male	Chinese	Post-secondary	25	965	1	5	1.226695806	-1.334369826	0.485470507	0.105157398
R_3qWq9eG4eAARFff	Male	Chinese	University	30+	Male	Chinese	Post-secondary	25	832	4	6	-1.245386714	1.134107951	-0.205684337	2.317385375
R_2z8FqiNFpKmIBpO	Male	Chinese	Polytechnic	20+	Female	Chinese	Post-secondary	23	878	1	1	-1.227773872	1.427608591	-0.933653037	1.218492219
R_2z8FqiNFpKmIBpO	Male	Malay	University	30+	Female	Chinese	Post-secondary	23	558	4	2	-0.950846355	-1.007751373	-0.812290772	-2.139192175
R_2z8FqiNFpKmIBpO	Female	Malay	Secondary school	20+	Female	Chinese	Post-secondary	23	225	3	3	-1.695800024	-0.305346574	-1.7352649	-0.645554916
R_2z8FqiNFpKmIBpO	Female	Chinese	University	20+	Female	Chinese	Post-secondary	23	239	2	4	-0.496039283	0.209298997	-0.030015755	-0.260971596
R_2z8FqiNFpKmIBpO	Male	Indian	Secondary school	30+	Female	Chinese	Post-secondary	23	962	1	5	-0.694696072	-0.84860921	-0.431407475	-1.167155478
R_2z8FqiNFpKmIBpO	Female	Indian	Polytechnic	20+	Female	Chinese	Post-secondary	23	930	4	6	-0.090909274	0.520082177	-0.695404195	-0.512700853
R_1gOsvRjAuN9b3l1	Male	Chinese	Secondary school	20+	Female	Chinese	Post-secondary	23	400	3	1	1.090222502	0.026636239	0.776557281	0.11455678
R_1gOsvRjAuN9b3l1	Female	Malay	University	30+	Female	Chinese	Post-secondary	23	931	2	2	0.468504209	0.299967917	0.836362593	-1.346874703
R_1gOsvRjAuN9b3l1	Female	Indian	University	30+	Female	Chinese	Post-secondary	23	956	4	3	0.252233139	1.103595044	-0.005628852	0.629101755
R_1gOsvRjAuN9b3l1	Male	Indian	Polytechnic	20+	Female	Chinese	Post-secondary	23	618	3	4	0.113896575	-0.446063343	0.919071337	-0.910154973
R_1gOsvRjAuN9b3l1	Male	Malay	Secondary school	20+	Female	Chinese	Post-secondary	23	613	4	5	1.15613091	-0.094432041	1.453043893	-1.503219604
R_1gOsvRjAuN9b3l1	Female	Chinese	Polytechnic	30+	Female	Chinese	Post-secondary	23	937	1	6	-0.322011125	0.835343495	-0.866508675	1.416262844
R_bjEAKGwxgccFcbv	Male	Malay	Secondary school	30+	Female	Chinese	University	23	965	1	1	-0.493942381	-1.007890764	-0.824147856	-1.517647413
R_bjEAKGwxgccFcbv	Male	Chinese	University	30+	Female	Chinese	University	23	832	3	2	-1.242104609	-0.096550833	-1.064151812	-1.610802777
R_bjEAKGwxgccFcbv	Female	Malay	University	20+	Female	Chinese	University	23	532	2	3	0.123505363	0.696146182	-0.493521707	-1.383146696
R_bjEAKGwxgccFcbv	Female	Chinese	Polytechnic	20+	Female	Chinese	University	23	818	4	4	-0.242947829	0.247127227	-0.033575048	0.660509517
R_bjEAKGwxgccFcbv	Male	Indian	Polytechnic	30+	Female	Chinese	University	23	936	1	5	-0.033325426	-1.779753163	-0.031593987	-0.62062103
R_bjEAKGwxgccFcbv	Female	Indian	Secondary school	20+	Female	Chinese	University	23	446	4	6	-0.944873771	-1.504813507	-0.843323233	-1.50516786
R_9sQdyw6317O8ohP	Male	Chinese	University	30+	Female	Chinese	University	23	832	4	1	0.017946916	-0.309954685	-1.317167796	-1.227462316
R_9sQdyw6317O8ohP	Male	Indian	Polytechnic	30+	Female	Chinese	University	23	936	1	2	-0.37794929	0.332286282	-0.287014802	0.184731486
R_9sQdyw6317O8ohP	Female	Indian	Secondary school	20+	Female	Chinese	University	23	446	3	3	-0.681531727	-0.507847083	-0.887587422	-0.630426717
R_9sQdyw6317O8ohP	Female	Malay	University	20+	Female	Chinese	University	23	532	1	4	-0.433340735	0.92768987	-0.396199982	0.079078848
R_9sQdyw6317O8ohP	Female	Chinese	Polytechnic	20+	Female	Chinese	University	23	818	3	5	-0.694957613	1.037969661	-0.707692288	0.58472528
R_9sQdyw6317O8ohP	Male	Malay	Secondary school	30+	Female	Chinese	University	23	965	2	6	0.419430835	-0.749290355	0.162562873	-0.820310336
R_25G9kmXTVmfrnYy	Male	Indian	University	20+	Female	Chinese	University	21	1014	2	1	0.557609141	1.582637712	1.317603825	0.77095475
R_25G9kmXTVmfrnYy	Male	Chinese	University	20+	Female	Chinese	University	21	866	4	2	-1.96178109	1.894664321	-1.002641034	1.501907094
R_25G9kmXTVmfrnYy	Female	Malay	Polytechnic	30+	Female	Chinese	University	21	911	1	3	0.976884143	1.433124197	1.300955147	0.758822177
R_25G9kmXTVmfrnYy	Female	Chinese	Secondary school	30+	Female	Chinese	University	21	694	2	4	0.042577684	-0.25221552	0.422670641	-0.078744908
R_25G9kmXTVmfrnYy	Female	Indian	Secondary school	30+	Female	Chinese	University	21	664	1	5	-1.961467749	0.51986394	0.120737112	-0.318185141
R_25G9kmXTVmfrnYy	Male	Malay	Polytechnic	20+	Female	Chinese	University	21	990	3	6	-1.725354048	-1.147774346	-0.946109817	-2.2073703
R_1pQYgYJBafQ5vEt	Female	Indian	University	30+	Female	Malay	University	21	956	4	1	1.913065841	1.960051999	1.989930074	1.540202366
R_1pQYgYJBafQ5vEt	Female	Malay	University	30+	Female	Malay	University	21	931	4	2	0.202372911	-0.008490321	-0.0414155	-0.076839759
R_1pQYgYJBafQ5vEt	Female	Chinese	Polytechnic	30+	Female	Malay	University	21	937	2	3	1.340960282	1.504299958	1.00799842	0.754517531
R_1pQYgYJBafQ5vEt	Male	Chinese	Secondary school	20+	Female	Malay	University	21	400	1	4	0.27475291	0.333962997	0.465497498	0.719013631
R_1pQYgYJBafQ5vEt	Male	Malay	Secondary school	20+	Female	Malay	University	21	613	3	5	0.18579961	-0.129997235	-0.005916337	-0.104652842
R_1pQYgYJBafQ5vEt	Male	Indian	Polytechnic	20+	Female	Malay	University	21	618	1	6	1.660387483	0.864848204	1.1718847	0.902708264
R_3hgQio0ilNzO6b8	Female	Indian	Polytechnic	20+	Male	Chinese	University	25	930	2	1	2.496575308	0.025494073	1.467763776	1.045370271
R_3hgQio0ilNzO6b8	Male	Malay	University	30+	Male	Chinese	University	25	558	3	2	1.519895356	1.5189964	1.403720624	0.49667838
R_3hgQio0ilNzO6b8	Male	Chinese	Polytechnic	20+	Male	Chinese	University	25	878	4	3	0.707703347	1.392710376	1.099296944	1.698889297
R_3hgQio0ilNzO6b8	Female	Chinese	University	20+	Male	Chinese	University	25	239	2	4	0.964629858	1.051317215	0.898228048	1.410274185
R_3hgQio0ilNzO6b8	Female	Malay	Secondary school	20+	Male	Chinese	University	25	225	1	5	2.609159377	1.086550809	1.999368948	1.316629374
R_3hgQio0ilNzO6b8	Male	Indian	Secondary school	30+	Male	Chinese	University	25	962	4	6	-0.467708386	0.108718473	0.651217383	0.377752701
R_2rHZVZ7ePxHaGaa	Female	Indian	University	30+	Female	Chinese	University	22	956	3	1	0.263142277	1.220484748	2.629521029	1.381762553
R_2rHZVZ7ePxHaGaa	Male	Chinese	Secondary school	20+	Female	Chinese	University	22	400	1	2	0.655651095	0.445510605	0.923857463	1.147059469
R_2rHZVZ7ePxHaGaa	Male	Indian	Polytechnic	20+	Female	Chinese	University	22	618	2	3	0.349858077	1.414413627	-0.135196525	1.438076898
R_2rHZVZ7ePxHaGaa	Male	Malay	Secondary school	20+	Female	Chinese	University	22	613	3	4	1.45987425	-1.004596861	0.287119793	-0.523992206
R_2rHZVZ7ePxHaGaa	Female	Malay	University	30+	Female	Chinese	University	22	931	2	5	1.015180592	-0.73967663	1.687024596	-0.65246817
R_2rHZVZ7ePxHaGaa	Female	Chinese	Polytechnic	30+	Female	Chinese	University	22	937	4	6	0.564000276	1.513889626	-0.57571536	0.708255948
R_28HslsVWuHknXER	Male	Malay	Secondary school	30+	Male	Chinese	University	24	965	3	1	-0.685563472	-1.371984226	-0.926985615	-0.298447226
R_28HslsVWuHknXER	Female	Malay	University	20+	Male	Chinese	University	24	532	1	2	-0.67954081	1.120824714	0.31986272	0.605684002
R_28HslsVWuHknXER	Male	Indian	Polytechnic	30+	Male	Chinese	University	24	936	3	3	0.083077664	-0.173515395	0.346527272	-0.170843148
R_28HslsVWuHknXER	Female	Indian	Secondary school	20+	Male	Chinese	University	24	446	5	4	-0.071492457	-0.379376214	-0.572626118	0.469711375
R_28HslsVWuHknXER	Male	Chinese	University	30+	Male	Chinese	University	24	832	2	5	-0.442439842	-0.609467935	-0.117863749	-0.404356878
R_28HslsVWuHknXER	Female	Chinese	Polytechnic	20+	Male	Chinese	University	24	818	4	6	-0.9404974	-0.900933685	-0.765578321	-0.736269196
R_1jeMiZA97KuaS0l	Male	Chinese	University	20+	Male	Indian	University	25	866	4	1	-0.156234106	-0.455573504	-0.5131054	-0.643057547
R_1jeMiZA97KuaS0l	Female	Indian	Secondary school	30+	Male	Indian	University	25	664	4	2	-0.073810674	-0.454190568	-0.502859464	-0.901748325
R_1jeMiZA97KuaS0l	Male	Malay	Polytechnic	20+	Male	Indian	University	25	990	2	3	-0.436877057	-0.626969572	-0.089864139	-0.076522228
R_1jeMiZA97KuaS0l	Female	Chinese	Secondary school	30+	Male	Indian	University	25	694	1	4	0.259204544	-0.977568215	-0.722546802	-0.211692525
R_1jeMiZA97KuaS0l	Male	Indian	University	20+	Male	Indian	University	25	1014	3	5	0.568726766	0.26683877	-0.089185871	-0.766371944
R_1jeMiZA97KuaS0l	Female	Malay	Polytechnic	30+	Male	Indian	University	25	911	3	6	0.023096188	-0.004487861	-0.998640953	-0.445050398
R_2zXPKv1TjK20j8O	Female	Malay	University	30+	Female	Chinese	Post-secondary	19	931	4	1	-1.650406441	-1.491268733	-1.24388446	0.605993692
R_2zXPKv1TjK20j8O	Female	Chinese	Polytechnic	30+	Female	Chinese	Post-secondary	19	937	3	2	-0.964291804	0.928343101	-0.966277619	0.140301049
R_2zXPKv1TjK20j8O	Male	Chinese	Secondary school	20+	Female	Chinese	Post-secondary	19	400	1	3	-0.671856888	-0.782677074	-0.870442338	-2.094351613
R_2zXPKv1TjK20j8O	Female	Indian	University	30+	Female	Chinese	Post-secondary	19	956	3	4	-0.454083504	1.925361231	-0.616268673	0.019417973
R_2zXPKv1TjK20j8O	Male	Malay	Secondary school	20+	Female	Chinese	Post-secondary	19	613	2	5	-1.171679609	-0.926300755	1.257686368	-2.112707872
R_2zXPKv1TjK20j8O	Male	Indian	Polytechnic	20+	Female	Chinese	Post-secondary	19	618	1	6	-0.458635718	0.671137741	0.477220159	-1.430358529
R_1LeyVDpeZqeDO0G	Male	Malay	Polytechnic	20+	Female	Chinese	Post-secondary	53	990	2	1	-1.708304972	-1.527425512	-2.43116449	-1.96435366
R_1LeyVDpeZqeDO0G	Male	Indian	University	20+	Female	Chinese	Post-secondary	53	1014	2	2	1.398879739	0.432541812	-0.041267372	0.709914859
R_1LeyVDpeZqeDO0G	Male	Chinese	University	20+	Female	Chinese	Post-secondary	53	866	1	3	-0.066570386	-0.27932811	-0.743227453	-0.033468223
R_1LeyVDpeZqeDO0G	Female	Indian	Secondary school	30+	Female	Chinese	Post-secondary	53	664	5	4	0.399627433	0.468287687	-0.797908066	0.75566752
R_1LeyVDpeZqeDO0G	Female	Chinese	Secondary school	30+	Female	Chinese	Post-secondary	53	694	4	5	1.47017687	1.003278786	-1.23568967	0.506048366
R_1LeyVDpeZqeDO0G	Female	Malay	Polytechnic	30+	Female	Chinese	Post-secondary	53	911	3	6	0.030341798	0.615168026	-0.203407109	1.072776495
R_3O2jWRpYjITxH1F	Female	Chinese	University	20+	Female	Malay	University	23	239	5	1	-0.833708765	-1.338652834	-1.711212657	-0.582271125
R_3O2jWRpYjITxH1F	Male	Malay	University	30+	Female	Malay	University	23	558	4	2	-0.009530048	-1.055704361	-1.484587393	-0.088657045
R_3O2jWRpYjITxH1F	Male	Indian	Secondary school	30+	Female	Malay	University	23	962	1	3	-0.797177837	-2.342435615	-1.197941063	0.64721778
R_3O2jWRpYjITxH1F	Female	Malay	Secondary school	20+	Female	Malay	University	23	225	2	4	1.015813864	-1.063482851	-0.475468806	0.712095796
R_3O2jWRpYjITxH1F	Male	Chinese	Polytechnic	20+	Female	Malay	University	23	878	1	5	-2.820783604	1.772767298	-2.66677961	1.698365083
R_3O2jWRpYjITxH1F	Female	Indian	Polytechnic	20+	Female	Malay	University	23	930	2	6	1.265341997	0.37800682	1.450355835	0.727425639
R_w1WQgxIrW4AZ4Dn	Male	Chinese	University	20+	Female	Chinese	University	21	866	2	1	-0.733605358	-0.206161485	-0.142841622	-0.222964865
R_w1WQgxIrW4AZ4Dn	Male	Indian	University	20+	Female	Chinese	University	21	1014	4	2	0.013675517	0.241829139	-1.080902319	-0.043479978
R_w1WQgxIrW4AZ4Dn	Female	Indian	Secondary school	30+	Female	Chinese	University	21	664	2	3	0.084821621	0.477492458	-0.051941494	0.088363752
R_w1WQgxIrW4AZ4Dn	Male	Malay	Polytechnic	20+	Female	Chinese	University	21	990	3	4	0.13669523	0.2980026	-0.65801476	-0.394457251
R_w1WQgxIrW4AZ4Dn	Female	Malay	Polytechnic	30+	Female	Chinese	University	21	911	1	5	-0.135719995	0.215807925	-0.110154526	-0.441035324
R_w1WQgxIrW4AZ4Dn	Female	Chinese	Secondary school	30+	Female	Chinese	University	21	694	4	6	0.579167765	0.422991221	-0.389359322	-0.668826025
R_2fwCfy1eVfpERHU	Male	Indian	Polytechnic	30+	Female	Chinese	University	25	936	2	1	-0.486040992	0.008831153	-0.192499268	-0.557574469
R_2fwCfy1eVfpERHU	Female	Indian	Secondary school	20+	Female	Chinese	University	25	446	3	2	-0.019705154	-0.225499929	-0.485380166	-0.933038154
R_2fwCfy1eVfpERHU	Female	Chinese	Polytechnic	20+	Female	Chinese	University	25	818	2	3	-0.368007038	-0.280815798	-0.561581905	0.127870681
R_2fwCfy1eVfpERHU	Male	Malay	Secondary school	30+	Female	Chinese	University	25	965	1	4	-0.043472873	-0.24991831	-0.119250081	-0.731453057
R_2fwCfy1eVfpERHU	Male	Chinese	University	30+	Female	Chinese	University	25	832	3	5	-0.353164179	-0.944657402	-0.56430605	-0.367755834
R_2fwCfy1eVfpERHU	Female	Malay	University	20+	Female	Chinese	University	25	532	4	6	-0.383705959	-0.312873023	-0.998684169	-0.637548233
R_3oNNg7OR4jFPnSX	Female	Malay	University	30+	Female	Chinese	University	21	931	2	1	-0.004093911	0.345871321	0.528160392	0.026254486
R_3oNNg7OR4jFPnSX	Male	Chinese	Secondary school	20+	Female	Chinese	University	21	400	4	2	-0.611383137	0.485957056	0.407560224	0.443110567
R_3oNNg7OR4jFPnSX	Male	Indian	Polytechnic	20+	Female	Chinese	University	21	618	1	3	-0.052732454	0.626920084	0.501479375	-0.605664734
R_3oNNg7OR4jFPnSX	Female	Indian	University	30+	Female	Chinese	University	21	956	2	4	0.373738826	0.842782539	0.619983774	0.860325492
R_3oNNg7OR4jFPnSX	Male	Malay	Secondary school	20+	Female	Chinese	University	21	613	3	5	-0.214217137	0.136419681	0.004608081	-0.627696723
R_3oNNg7OR4jFPnSX	Female	Chinese	Polytechnic	30+	Female	Chinese	University	21	937	1	6	-2.092867616	-0.174944958	-0.792919378	-1.579869643
R_sLvvfN5MPWHCQaR	Male	Indian	University	20+	Male	Indian	Post-secondary	22	1014	4	1	0.23711824	0.516203893	-1.281185119	-1.597411214
R_sLvvfN5MPWHCQaR	Female	Malay	Polytechnic	30+	Male	Indian	Post-secondary	22	911	2	2	0.193873384	-0.976338507	0.348693538	-0.653324345
R_sLvvfN5MPWHCQaR	Female	Chinese	Secondary school	30+	Male	Indian	Post-secondary	22	694	3	5	0.723972689	-0.792677076	-0.322351315	0.184253085
R_sLvvfN5MPWHCQaR	Male	Malay	Polytechnic	20+	Male	Indian	Post-secondary	22	990	4	6	0.813653578	-0.76325268	0.287436406	0.458612691
R_3QoSkahci36qBtD	Female	Indian	Secondary school	20+	Female	Malay	University	22	446	5	1	1.224499036	1.695802541	1.092909772	1.046744941
R_3QoSkahci36qBtD	Male	Indian	Polytechnic	30+	Female	Malay	University	22	936	1	2	1.319564125	1.232937283	1.168620218	1.228252154
R_3QoSkahci36qBtD	Female	Chinese	Polytechnic	20+	Female	Malay	University	22	818	1	3	0.802652838	0.565909032	0.664650202	0.233136556
R_3QoSkahci36qBtD	Male	Chinese	University	30+	Female	Malay	University	22	832	4	4	0.890449669	1.146884786	1.483697114	1.414957867
R_3QoSkahci36qBtD	Female	Malay	University	20+	Female	Malay	University	22	532	5	5	1.60494939	1.190945592	0.724543659	1.380553901
R_3QoSkahci36qBtD	Male	Malay	Secondary school	30+	Female	Malay	University	22	965	2	6	1.420324785	0.510781209	1.173634161	1.020111172
R_3PGMDgauLTsXVry	Male	Indian	Polytechnic	20+	Female	Malay	University	39	618	1	2	-0.825538211	0.229131594	-0.186709323	0.223281461
R_3PGMDgauLTsXVry	Male	Malay	Secondary school	20+	Female	Malay	University	39	613	4	3	-0.323594879	-1.094739337	-0.417205562	-0.230190204
R_3PGMDgauLTsXVry	Female	Malay	University	30+	Female	Malay	University	39	931	2	4	-0.462094393	1.708596939	-0.494358815	1.259676208
R_3PGMDgauLTsXVry	Female	Indian	University	30+	Female	Malay	University	39	956	2	5	1.825527842	2.001562994	-1.448202919	-0.265711427
R_3PGMDgauLTsXVry	Female	Chinese	Polytechnic	30+	Female	Malay	University	39	937	3	6	-0.022027915	0.429820716	-0.194187303	-0.613630654
R_1I4X7lOfFvmMFS1	Female	Malay	University	30+	Female	Chinese	University	20	931	1	1	-0.525928573	-0.092827741	0.198314877	0.582725275
R_1I4X7lOfFvmMFS1	Female	Indian	University	30+	Female	Chinese	University	20	956	3	2	0.575641039	0.551979213	-0.45752687	-0.191958593
R_1I4X7lOfFvmMFS1	Male	Chinese	Secondary school	20+	Female	Chinese	University	20	400	2	3	-0.133866177	-0.342011956	-0.737132445	-0.725224967
R_1I4X7lOfFvmMFS1	Female	Chinese	Polytechnic	30+	Female	Chinese	University	20	937	4	4	-0.061408295	-0.279418695	-0.515824271	-0.277300688
R_1I4X7lOfFvmMFS1	Male	Indian	Polytechnic	20+	Female	Chinese	University	20	618	1	5	-0.338292086	-0.43904451	-0.309669508	-0.527733884
R_1I4X7lOfFvmMFS1	Male	Malay	Secondary school	20+	Female	Chinese	University	20	613	3	6	-0.200212062	0.108402635	-0.206922351	-0.178618316
R_xAvF7ZfHm7t22mR	Female	Malay	University	30+	Female	Chinese	Secondary	58	931	2	1	0.250715843	0.999763932	0.542563222	1.290374161
R_xAvF7ZfHm7t22mR	Male	Indian	Polytechnic	20+	Female	Chinese	Secondary	58	618	1	2	0.666503856	1.941577172	-1.279161193	1.158331438
R_xAvF7ZfHm7t22mR	Female	Indian	University	30+	Female	Chinese	Secondary	58	956	3	3	0.151184358	0.944904251	0.369567379	1.105020011
R_xAvF7ZfHm7t22mR	Male	Chinese	Secondary school	20+	Female	Chinese	Secondary	58	400	4	4	0.034142101	1.669766787	-0.048442829	1.136880449
R_xAvF7ZfHm7t22mR	Male	Malay	Secondary school	20+	Female	Chinese	Secondary	58	613	1	5	-0.439202052	-0.720913054	-0.627112623	-1.783822223
R_xAvF7ZfHm7t22mR	Female	Chinese	Polytechnic	30+	Female	Chinese	Secondary	58	937	3	6	-0.641151585	-0.412880746	-1.684932196	-1.331795247
R_W7DaT387wEPeAzD	Female	Indian	Polytechnic	20+	Female	Chinese	University	21	930	3	1	-0.828870304	-0.104980877	0.363011305	-0.895621447
R_W7DaT387wEPeAzD	Male	Malay	University	30+	Female	Chinese	University	21	558	2	2	-0.143283782	-0.903308494	-1.67707874	-3.430446144
R_W7DaT387wEPeAzD	Male	Chinese	Polytechnic	20+	Female	Chinese	University	21	878	1	3	-1.500314465	1.00886246	0.314676028	0.045312711
R_W7DaT387wEPeAzD	Male	Indian	Secondary school	30+	Female	Chinese	University	21	962	4	4	-1.530668699	-0.607786852	-1.158415343	-0.266328619
R_W7DaT387wEPeAzD	Female	Chinese	University	20+	Female	Chinese	University	21	239	5	5	-1.435819285	0.62880946	0.909114004	1.163592917
R_W7DaT387wEPeAzD	Female	Malay	Secondary school	20+	Female	Chinese	University	21	225	4	6	-0.506403153	-0.381255723	-0.49365263	-0.700046409
R_1BWeh495v0UbLu9	Male	Indian	University	20+	Male	Malay	University	23	1014	4	1	1.160126583	0.746908525	1.109686633	1.512400812
R_1BWeh495v0UbLu9	Male	Malay	Polytechnic	20+	Male	Malay	University	23	990	1	2	1.109130771	1.162962354	1.029829155	1.580840953
R_1BWeh495v0UbLu9	Male	Chinese	University	20+	Male	Malay	University	23	866	3	3	0.80053711	0.533158965	1.705351453	1.343740241
R_1BWeh495v0UbLu9	Female	Indian	Secondary school	30+	Male	Malay	University	23	664	1	4	-0.824618344	-0.209772681	-0.975118565	-0.133353555
R_1BWeh495v0UbLu9	Female	Malay	Polytechnic	30+	Male	Malay	University	23	911	2	5	1.061351467	1.282225378	1.024512614	1.35009902
R_1BWeh495v0UbLu9	Female	Chinese	Secondary school	30+	Male	Malay	University	23	694	4	6	-0.065062259	0.249532394	0.411673867	0.349227198
R_cZvEVDv7vRoCSf7	Female	Malay	Secondary school	20+	Male	Indian	University	22	225	3	1	0.813224877	-0.395051149	-0.459190286	-0.079697225
R_cZvEVDv7vRoCSf7	Male	Malay	University	30+	Male	Indian	University	22	558	4	2	-1.175215907	-0.755248946	-1.138000954	-0.90747604
R_cZvEVDv7vRoCSf7	Male	Chinese	Polytechnic	20+	Male	Indian	University	22	878	2	3	0.973025513	1.563857049	-0.550596259	0.981741754
R_cZvEVDv7vRoCSf7	Female	Indian	Polytechnic	20+	Male	Indian	University	22	930	2	4	-0.021075775	0.564903768	0.23982776	0.002380734
R_cZvEVDv7vRoCSf7	Male	Indian	Secondary school	30+	Male	Indian	University	22	962	4	5	-0.709411601	-0.65615564	-0.725360841	-0.922685699
R_cZvEVDv7vRoCSf7	Female	Chinese	University	20+	Male	Indian	University	22	239	1	6	0.50139256	-0.611904289	-0.047960844	-0.085574138
R_1P0m1vJ2cPiAIHi	Male	Malay	Secondary school	30+	Female	Indian	University	21	965	4	1	-0.868923595	-1.193043931	-0.764847976	0.707397118
R_1P0m1vJ2cPiAIHi	Female	Chinese	Polytechnic	20+	Female	Indian	University	21	818	2	2	0.587348641	2.176977798	0.215761944	1.190131989
R_1P0m1vJ2cPiAIHi	Male	Indian	Polytechnic	30+	Female	Indian	University	21	936	4	3	0.647347451	0.880722427	0.56858636	-0.000566436
R_1P0m1vJ2cPiAIHi	Female	Indian	Secondary school	20+	Female	Indian	University	21	446	1	4	-1.41241929	-0.94651163	-2.742953032	-1.794121785
R_1P0m1vJ2cPiAIHi	Female	Malay	University	20+	Female	Indian	University	21	532	1	5	0.062297425	0.598533833	0.114331441	-0.236622485
R_1P0m1vJ2cPiAIHi	Male	Chinese	University	30+	Female	Indian	University	21	832	3	6	-1.564963342	-1.048372788	-1.326836453	-1.581838299
R_1jJnFwKa3ZYBL3y	Male	Indian	University	20+	Female	Chinese	University	22	1014	1	1	-0.273805021	-0.171771798	0.35948624	-0.220220501
R_1jJnFwKa3ZYBL3y	Female	Malay	Polytechnic	30+	Female	Chinese	University	22	911	1	2	-1.213162082	-2.066258173	-0.13747072	-1.389276107
